"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso"
"1","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"2","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"3","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"4","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"5","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"6","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"7","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"8","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"9","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"10","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"11","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"12","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"13","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"14","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"15","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"16","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"17","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"18","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"19","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"20","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"21","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"22","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"23","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"24","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"25","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"26","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"27","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"28","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"29","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"30","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"31","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"32","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"33","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"34","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"35","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"36","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"37","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"38","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"39","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"40","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"41","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"42","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"43","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"44","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"45","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"46","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"47","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"48","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"49","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"50","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"51","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"52","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"53","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"54","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"55","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"56","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"57","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"58","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"59","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"60","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"61","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"62","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"63","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"64","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"65","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"66","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"67","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"68","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"69","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"70","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"71","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"72","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"73","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"74","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"75","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"76","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"77","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"78","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"79","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"80","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"81","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"82","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"83","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"84","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"85","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"86","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"87","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"88","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"89","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"90","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"91","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"92","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"93","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"94","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"95","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"96","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"97","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"98","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"99","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"100","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"101","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"102","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"103","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"104","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"105","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"106","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"107","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"108","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"109","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"110","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"111","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"112","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"113","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"114","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"115","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"116","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"117","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"118","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"119","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"120","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
