"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso"
"121","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"122","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"123","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"124","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"125","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"126","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"127","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"128","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"129","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"130","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"131","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"132","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"133","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"134","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"135","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"136","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"137","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"138","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"139","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"140","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"141","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"142","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"143","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"144","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"145","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"146","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"147","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"148","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"149","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"150","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"151","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"152","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"153","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"154","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"155","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"156","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"157","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"158","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"159","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"160","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"161","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"162","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"163","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"164","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"165","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"166","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"167","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"168","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"169","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"170","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"171","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"172","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"173","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"174","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"175","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"176","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"177","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"178","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"179","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"180","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"181","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"182","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"183","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"184","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"185","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"186","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"187","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"188","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"189","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"190","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"191","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"192","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"193","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"194","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"195","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"196","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"197","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"198","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"199","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"200","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"201","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"202","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"203","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"204","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"205","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"206","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"207","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"208","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"209","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"210","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"211","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"212","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"213","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"214","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"215","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"216","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
"217","CAFETERA ULTRA TOYS AQUA RP","9990"," 8390",0,"ULTRA TOYS",20.1,13.4,0.725
"218","CAFETERA NESCAFE DOLCE GUSTO JOVIA","49990"," 39990",59,"NESTLE",26,43,3
"219","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","189990","189990",0,"NESPRESSO",23,27.7,2.22653846153846
"220","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","129990","129990",2,"DELONGHI",26,31.5,4.1
"221","CAFETERA OSTER DRIP 5B","11990","11990",4,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"222","CAFETERA RIPLEY HOME VALCAT 1 LT","5990"," 4990",0,"RIPLEY HOME",16.8176470588235,28.3928571428571,2.22653846153846
"223","CAFETERA KENWOOD PICASSO COX750 ROJO","59990","59990",0,"KENWOOD",19,32,2.59
"224","CAFETERA NESCAFE DOLCE GUSTO MINI ME","74990","74990",1,"NESTLE",16,24.2,2.23
"225","CAFETERA DELONGHI MOKA ALICIA EMK4","59990","59990",2,"DELONGHI",12.7,21.9,1
"226","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"227","CAFETERA OSTER PRIMALATTE COBRE","89990"," 79990",9,"OSTER",16.8176470588235,28.3928571428571,2.22653846153846
"228","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"229","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","109990","109990",0,"NESPRESSO",11,32.5,2.3
"230","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","89990","89990",0,"NESPRESSO",11,32.5,2.3
"231","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","69990"," 59990",6,"NESCAFE",25,32,2.4
"232","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","4890","4890",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"233","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","6290","6290",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"234","CAFETERA FANTUZZI EXPRESS LUNA 3 TAZAS","3990","3990",1,"FANTUZZI",16.8176470588235,28.3928571428571,2.22653846153846
"235","CAFETERA","43900","43900",0,"CUNCUNA",21,28.3928571428571,2.22653846153846
"236","CAFETERA","20100","20100",0,"CUNCUNA",10,28.3928571428571,2.22653846153846
"237","Cafetera","15900","15900",0,"NEW CLASSIC TOYS",19.5,21,1.1
"238","CAFETERA NESCAFE DOLCE GUSTO COLORS WHITE","74990","74990",3,"NESCAFE",16.8176470588235,28.3928571428571,2.6
"239","CAFETERA NESPRESSO INISSIA + AEROCCINO 3","99990","99990",6,"NESPRESSO",12,28.3928571428571,2.22653846153846
"240","CAFETERA FRENCH PRESS LE幾PRESS","14990","14990",0,"KITCHEN CRAFT",11.6,20.8,2.22653846153846
